Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Aaron Eckhart ,1.396,0.104,1,/assets/Aaron_Eckhart_0001.jpg,Aaron Peirsol,/assets/Aaron_Peirsol_0003.jpg,FALSE
Ai Sugiyama,1.35,0.15,2,/assets/Ai_Sugiyama_0002.jpg,,,FALSE
Don Nickles,1.143,0.357,3,/assets/Don_Nickles_0001.jpg,,,FALSE
Doug Wilson,1.193,0.307,4,/assets/Doug_Wilson_0001.jpg,,,FALSE
Aaron Peirsol,0.168,1.332,5,/assets/Aaron_Peirsol_0002.jpg,,,TRUE
Lindsey Graham,1.116,0.384,6,/assets/Lindsey_Graham_0002.jpg,,,FALSE
Mary Descenza,1.23,0.27,7,/assets/Mary_Descenza_0001.jpg,,,FALSE
Michel Duclos,1.036,0.464,8,/assets/Michel_Duclos_0001.jpg,,,FALSE
Naomi Watts,1.329,0.171,9,/assets/Naomi_Watts_0002.jpg,,,FALSE
Paul McNulty,1.399,0.101,10,/assets/Paul_McNulty_0001.jpg,,,FALSE
