Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Jaqueline Godoy,0.528,0.972,1,/assets/Jaqueline_Godoy_0001.jpg,Jacqueline Edwards,/assets/Jacqueline_Edwards_0001.jpg,FALSE
Jason Campbell,0.627,0.873,2,/assets/Jason_Campbell_0001.jpg,,,FALSE
Jennette Bradley,0.913,0.587,3,/assets/Jennette_Bradley_0001.jpg,,,FALSE
Julian Battle,0.929,0.571,4,/assets/Julian_Battle_0001.jpg,,,FALSE
Kelli White,0.423,1.077,5,/assets/Kelli_White_0002.jpg,,,FALSE
Kelly Santos,0.938,0.562,6,/assets/Kelly_Santos_0001.jpg,,,FALSE
Jacqueline Edwards,0.488,1.012,7,/assets/Jacqueline_Edwards_0002.jpg,,,TRUE
Kwame Kilpatrick,0.962,0.538,8,/assets/Kwame_Kilpatrick_0001.jpg,,,FALSE
Larry Thompson,0.793,0.707,9,/assets/Larry_Thompson_0001.jpg,,,FALSE
Marquis Estill,0.945,0.555,10,/assets/Marquis_Estill_0001.jpg,,,FALSE
