Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Jacqueline Edwards,0.627,0.873,1,/assets/Jacqueline_Edwards_0001.jpg,Jason Campbell,/assets/Jason_Campbell_0001.jpg,FALSE
Jason Campbell,0.358,1.142,2,/assets/Jason_Campbell_0002.jpg,,,TRUE
Jennette Bradley,0.955,0.545,3,/assets/Jennette_Bradley_0001.jpg,,,FALSE
Julian Battle,0.67,0.83,4,/assets/Julian_Battle_0001.jpg,,,FALSE
Kalpana Chawla,1.024,0.476,5,/assets/Kalpana_Chawla_0002.jpg,,,FALSE
Kelly Santos,1.037,0.463,6,/assets/Kelly_Santos_0001.jpg,,,FALSE
Kobe Bryant,0.685,0.815,7,/assets/Kobe_Bryant_0003.jpg,,,FALSE
Kwame Kilpatrick,0.761,0.739,8,/assets/Kwame_Kilpatrick_0001.jpg,,,FALSE
Larry Thompson,1.054,0.446,9,/assets/Larry_Thompson_0001.jpg,,,FALSE
Marquis Estill,0.837,0.663,10,/assets/Marquis_Estill_0001.jpg,,,FALSE
