Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Amy Brenneman,0.809,0.691,1,/assets/Amy_Brenneman_0001.jpg,Kalpana Chawla,/assets/Kalpana_Chawla_0002.jpg,FALSE
Faye Wong,1.194,0.306,2,/assets/Faye_Wong_0001.jpg,,,FALSE
Jacqueline Edwards,1.203,0.297,3,/assets/Jacqueline_Edwards_0001.jpg,,,FALSE
Jason Campbell,1.024,0.476,4,/assets/Jason_Campbell_0001.jpg,,,FALSE
Jennifer Lopez,1.216,0.284,5,/assets/Jennifer_Lopez_0016.jpg,,,FALSE
Joy Bryant,1.128,0.372,6,/assets/Joy_Bryant_0001.jpg,,,FALSE
Kelly Santos,1.158,0.342,7,/assets/Kelly_Santos_0001.jpg,,,FALSE
Marsha Thomason,1.355,0.145,8,/assets/Marsha_Thomason_0001.jpg,,,FALSE
Kalpana Chawla,0.232,1.268,9,/assets/Kalpana_Chawla_0004.jpg,,,TRUE
Vicki Zhao Wei,1.206,0.294,10,/assets/Vicki_Zhao_Wei_0002.jpg,,,FALSE
