Name,Similarity,Position,File,Subject,Subject_File
Amy Brenneman,1.074,1,/assets/Amy_Brenneman_0001.jpg,Katie Couric,/assets/Katie_Couric_0001.jpg
Christine Gregoire,1.333,2,/assets/Christine_Gregoire_0003.jpg,,
Holly Hunter,1.181,3,/assets/Holly_Hunter_0003.jpg,,
Ivana Trump,1.2,4,/assets/Ivana_Trump_0001.jpg,,
Laura Bush,1.338,5,/assets/Laura_Bush_0025.jpg,,
Mary Descenza,0.894,6,/assets/Mary_Descenza_0001.jpg,,
Mary Katherine Smart,1.283,7,/assets/Mary_Katherine_Smart_0001.jpg,,
Naomi Watts,0.646,8,/assets/Naomi_Watts_0002.jpg,,
Paris Hilton,1.263,9,/assets/Paris_Hilton_0002.jpg,,
Princess Caroline,1.273,10,/assets/Princess_Caroline_0004.jpg,,
