Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Jacqueline Edwards,0.819,0.681,1,/assets/Jacqueline_Edwards_0001.jpg,LeBron James,/assets/Lebron_James_0002.jpg,FALSE
Jason Campbell,0.806,0.694,2,/assets/Jason_Campbell_0001.jpg,,,FALSE
LeBron James,0.116,1.384,3,/assets/LeBron_James_0001.jpg,,,TRUE
Julian Battle',0.655,0.845,4,/assets/Julian_Battle_0001.jpg,,,FALSE
Julius Erving,0.724,0.776,5,/assets/Julius_Erving_0001.jpg,,,FALSE
Kelli White,0.919,0.581,6,/assets/Kelli_White_0002.jpg,,,FALSE
Kobe Bryant,0.825,0.675,7,/assets/Kobe_Bryant_0003.jpg,,,FALSE
Kwame Kilpatrick,0.442,1.058,8,/assets/Kwame_Kilpatrick_0001.jpg,,,FALSE
Larry Thompson,0.151,1.349,9,/assets/Larry_Thompson_0001.jpg,,,FALSE
Marquis Estill,0.719,0.781,10,/assets/Marquis_Estill_0001.jpg,,,FALSE
