Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Jacqueline Edwards,0.599,0.896,1,/assets/Jacqueline_Edwards_0001.jpg,Lisa Leslie,/assets/Lisa_Leslie_0001.jpg,FALSE
Jaqueline Godoy,0.604,0.838,2,/assets/Jaqueline_Godoy_0001.jpg,,,FALSE
Jason Campbell,0.662,0.658,3,/assets/Jason_Campbell_0001.jpg,,,FALSE
Jennette Bradley,0.842,0.52,4,/assets/Jennette_Bradley_0001.jpg,,,FALSE
Julian Battle,0.98,0.604,5,/assets/Julian_Battle_0001.jpg,,,FALSE
Kelli White,0.896,0.809,6,/assets/Kelli_White_0002.jpg,,,FALSE
Kelly Santos,0.691,0.523,7,/assets/Kelly_Santos_0001.jpg,,,FALSE
Kobe Bryant,0.977,0.65,8,/assets/Kobe_Bryant_0003.jpg,,,FALSE
Marquis Estill,0.85,1.019,9,/assets/Marquis_Estill_0001.jpg,,,FALSE
Lisa Leslie,0.481,1.5,10,/assets/Lisa_Leslie_0002.jpg,,,TRUE
