Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Christine Gregoire,0.891,0.609,1,/assets/Christine_Gregoire_0003.jpg,Paris Hilton,/assets/Paris_Hilton_0002.jpg,FALSE
Ivana Trump,0.946,0.554,2,/assets/Ivana_Trump_0001.jpg,,,FALSE
Joseph Biden,1.408,0.092,3,/assets/Joseph_Biden_0001.jpg,,,FALSE
Joy Bryant,1.409,0.091,4,/assets/Joy_Bryant_0001.jpg,,,FALSE
Katie Couric,1.263,0.237,5,/assets/Katie_Couric_0001.jpg,,,FALSE
Paris Hilton,0.14,1.36,6,/assets/Paris_Hilton_0001.jpg,,,TRUE
Lauren Hutton,1.197,0.303,7,/assets/Lauren_Hutton_0001.jpg,,,FALSE
Mary Catherine Correll,1.105,0.395,8,/assets/Mary_Catherine_Correll_0001.jpg,,,FALSE
Mary Descenza,1.028,0.472,9,/assets/Mary_Descenza_0001.jpg,,,FALSE
Naomi Watts,1.074,0.426,10,/assets/Naomi_Watts_0002.jpg,,,FALSE
