Name,Difference,Similarity,Position,File,Subject,Subject_File,Match
Ai Sugiyama,1.062,0.438,1,/assets/Ai_Sugiyama_0002.jpg,Vicki Zhao Wei,/assets/Vicki_Zhao_Wei_0002.jpg,FALSE
Faye Wong,0.658,0.842,2,/assets/Faye_Wong_0001.jpg,,,FALSE
Jennifer Lopez,0.827,0.673,3,/assets/Jennifer_Lopez_0016.jpg,,,FALSE
Joy Bryant,1.244,0.256,4,/assets/Joy_Bryant_0001.jpg,,,FALSE
Kalpana Chawla,1.206,0.294,5,/assets/Kalpana_Chawla_0002.jpg,,,FALSE
Mary-Kate Olsen,1.032,0.468,6,/assets/Mary-Kate_Olsen_0001.jpg,,,FALSE
Vicki Zhao Wei,0.149,1.351,7,/assets/Vicki_Zhao_Wei_0001.jpg,,,TRUE
Regina Ip,0.561,0.939,8,/assets/Regina_Ip_0001.jpg,,,FALSE
Soon Yi,1.202,0.298,9,/assets/Soon_Yi_0001.jpg,,,FALSE
Xiang Liu,1.25,0.25,10,/assets/Xiang_Liu_0001.jpg,,,FALSE
