Name,Similarity,Position,File,Subject,Subject_File,,
Aaron Eckhart ,1.396,1,/assets/Aaron_Eckhart_0001.jpg,Aaron Peirsol,/assets/Aaron_Peirsol_0003.jpg,,
Ai Sugiyama,1.35,2,/assets/Ai_Sugiyama_0002.jpg,,,,
Don Nickles,1.143,3,/assets/Don_Nickles_0001.jpg,,,,
Doug Wilson,1.193,4,/assets/Doug_Wilson_0001.jpg,,,,
Kevin Borseth,1.442,5,/assets/Kevin_Borseth_0001.jpg,,,,
Lindsey Graham,1.116,6,/assets/Lindsey_Graham_0002.jpg,,,,
Mary Descenza,1.23,7,/assets/Mary_Descenza_0001.jpg,,,,
Michel Duclos,1.036,8,/assets/Michel_Duclos_0001.jpg,,,,
Naomi Watts,1.329,9,/assets/Naomi_Watts_0002.jpg,,,,
Paul McNulty,1.399,10,/assets/Paul_McNulty_0001.jpg,,,,
,,,,,,,
,,,,,,,
