Name,Similarity,Position,File,Subject,Subject_File,,
Jaqueline Godoy,0.528,1,/assets/Jaqueline_Godoy_0001.jpg,Jacqueline Edwards,/assets/Jacqueline_Edwards_0001.jpg,,
Jason Campbell,0.627,2,/assets/Jason_Campbell_0001.jpg,,,,
Jennette Bradley,0.913,3,/assets/Jennette_Bradley_0001.jpg,,,,
Julian Battle,0.929,4,/assets/Julian_Battle_0001.jpg,,,,
Kelli White,0.423,5,/assets/Kelli_White_0002.jpg,,,,
Kelly Santos,0.938,6,/assets/Kelly_Santos_0001.jpg,,,,
Kobe Bryant,0.965,7,/assets/Kobe_Bryant_0003.jpg,,,,
Kwame Kilpatrick,0.962,8,/assets/Kwame_Kilpatrick_0001.jpg,,,,
Larry Thompson,0.793,9,/assets/Larry_Thompson_0001.jpg,,,,
Marquis Estill,0.945,10,/assets/Marquis_Estill_0001.jpg,,,,
,,,,,,,
,,,,,,,
