Name,Similarity,Position,File,Subject,Subject_File
Amy Brenneman,0.809,1,/assets/Amy_Brenneman_0001.jpg,Kalpana Chawla,/assets/Kalpana_Chawla_0002.jpg
Faye Wong,1.194,2,/assets/Faye_Wong_0001.jpg,,
Jacqueline Edwards,1.203,3,/assets/Jacqueline_Edwards_0001.jpg,,
Jason Campbell,1.024,4,/assets/Jason_Campbell_0001.jpg,,
Jennifer Lopez,1.216,5,/assets/Jennifer_Lopez_0016.jpg,,
Joy Bryant,1.128,6,/assets/Joy_Bryant_0001.jpg,,
Kelly Santos,1.158,7,/assets/Kelly_Santos_0001.jpg,,
Marsha Thomason,1.355,8,/assets/Marsha_Thomason_0001.jpg,,
Princess Caroline,1.401,9,/assets/Princess_Caroline_0004.jpg,,
Vicki Zhao Wei,1.206,10,/assets/Vicki_Zhao_Wei_0002.jpg,,
